tweet,class
"""@Vbomb20: @Woodchuck20 pussy"" love it",1
"#WestVirginia is full of white trash.
",0
"""@VeronikaHumbert: Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey http:/...",1
"#faggots are MERELY a #scientific indicator that SOMETHING IS WRONG&gt; Do not celebrate as ""unique ...
",0
"""@VineForTheByrd: On my way to fuck your bitch https://t.co/4lMTFNL2iy"" LMFAO KITTYCOPTER",1
"#firefighter is a job for white trash
",0
"""@WBeezy_: ""@QuaTheGreat: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#1...",1
"#milesthompson #goauche #wetback #ca http://t.co/g3Ze8bqLPG
",0
"""@WBeezy_: ""@Run_DRC: Its simple, dont be a hoe=dont worry about being exposed &#128540;"" fight me""w...",1
"&#128514; &#8220;@BossmobbE: Racist all month .. Fuck u honkey&#8221;
",0
"""@WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKV"" Her size isn't exactly the...",1
"&#128514; RT @TheOnlyReed: LMFAO RT @Tone314: If you watching porn &amp; beating off &amp; yo homie ...
",0
"""@WitHaPrettyface: @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#12829...",1
"&#128514;&#128514; fucc nicca yu pose to be pullin up
",0
"""@X_XPDOTJDOT: Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. ...",1
"&#128514;&#128514;&#128514; i just said that RT @BoyThats_ARYAH: My TL gotta chill with this pretty ...
",0
"""@XoJennyGirl: I'm making marack my girlfriend ."" @marackaf aye b you pullin hoes just like o taught...",1
"&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for ...
",0
"""@XoXo__Angiee: Bruno fag boy"" you love me.",1
"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highl...
",0
"""@YoungRicooo: &#8220;@WexicanAfro702: Don't take advantage of a nice person&#8221;@ hoes""@ everyjua...",1
"&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wo...
",0
"""@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702"" Thanks pal",1
"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""
",0
"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till fr...",1
"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those i...
",0
"""@ZoeBarton3: @h0rheyd ewww I said THAT last Sunday..as in the last Sunday I was there. Read it agai...",1
"&#8220;@DickFurari: HELL YA THEY SHOULD MAKE MORE MALT LIQUOR ADS LIKE THIS. http://t.co/H0JGORtnF8&...
",0
"""@_BaDa_Bing: I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back""...",1
"&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha
",0
"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say.",1
"&#8220;@FunnyPicsDepot: ""fucking white people"" http://t.co/uyjGzuX4Cc&#8221; bitch wut?
",0
"""@_GeeWillikers_: Ass slapping is one the greatest things. Haha. &#128527;"" I slapped a girl on the ...",1
"&#8220;@GlitteredInPink: @West305 you like 5'8, you needs to&#8221;....1. You a hoe. 2. i'm 5'10(bre...
",0
"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..loo...",1
"&#8220;@MILF_chronicles: Dudes shaving without it being for an athletic purpose is gay af&#8221; you...
",0
"""@__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh",1
"&#8220;@Maxwell_Larsen: When you live this gay, you can't be afraid of two black dicks in your butt""...
",0
"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",1
"&#8220;@MikeyPDaCav5: I love the song ""John Doe"" #dope&#8221; @MirandaWigley @edenbaby101 faggots
",0
"""@__youreWelcome: Im a boss ass bitch"" ...that needs to sit in a corner",1
"&#8220;@MoffettMM: Just got done with my last final and I'm walkin around campus like I own this pla...
",0
"""@_iwantfranny: He's a hoe , I can't""",1
"&#8220;@My_Fish_Died: You dammn Weed potheads are annoying af on Twitter&#8221; weed and pot are the...
",0
"""@_simplycaitlin: why do my friends hate me"" because you a ratchet hoe..",1
"&#8220;@NiHao_Rocky Who is she? RT @DrTruth247: Y'all hype that bread loaf chick up but I'm a chill&...
",0
"""@adriwadrri: No love for these fuck niggas"" hoes*",1
"&#8220;@NiggaImTatted: Cowboys win games during the regular season but when they get to the playoffs...
",0
"""@airmaxlad1: Hot meat http://t.co/BRz8Imk5vK"" sexy as fuck scally lad. I would love to meet him and...",1
"&#8220;@NoChillPaz: White kids favorite activities 1. Calling people ""niggers"" on Xbox 2.fucking the...
",0
"""@airmaxlad1: Sniff http://t.co/FHHbBRMYBN"" perved up scally lad. fuck yeah.",1
"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#822...
",0
"""@alejandra_p13: These bitches love Sosa""",1
"&#8220;@TP_Three: @WestSideFlee @KekePalmer damn they got wifey &#128561;&#128561;&#128534;&#128534;...
",0
"""@allisonnamaya_: What should I name my cat, ideas?"" Mr pussy",1
"&#8220;@SimplyHype: @kobebryant shut the fuck up, you fucking trash nigga, work on another ring&#822...
",0
"""@altosteel115: http://t.co/tM28mh5XG2"" woof woof. Sexy thug boy scally.",1
"&#8220;@TP_Three: @WestSideFlee @KekePalmer damn they got wifey &#128561;&#128561;&#128534;&#128534;...
",0
"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a ...",1
"&#8220;@_BitchBUH: Shoot that nigga and his shorty bitch &#128299;&#128514;&#8221; &#8252;&#65039;&#...
",0
"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call...",1
"&#8220;@_honeysays: My phone charging backwards &#128533;&#8221; retarded
",0
"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",1
"&#8220;@alicia_688: You aint special niglet RT @Vice504fly: When I'm chilling wit Greg ppl walk up t...
",0
"""@bleedingtrap: god teeth , gold chain white bitches , cocaine""",1
"&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shi...
",0
"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh",1
"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; l...
",0
"""@chieflottahoes: In D.C., we call them rollers, in Chiraq we call them thots."" All across America t...",1
"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; Dis my pal from...
",0
"""@clayton_jenn99: I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie",1
"&#8220;@kaylendenise_: I hate that bitch &amp; the fact that oomf likes her.. just no &#128528;&#822...
",0
"""@coltforty2Gone: hate when bitches try and put you in the friendzone. bitch I'm tryin to score put ...",1
"&#8220;@kitty_hello14: @Im_Yung_Jay &#127850;&#127850;&#127850;&#127850;&#127850; bitch ass nigga fu...
",0
"""@datFullerkid: @TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol",1
"&#8220;@medaOriginBitch: That one friend who you greet with an insult.&#8221; @MorbidMermaid @EvanBe...
",0
"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me",1
"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;
",0
"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh",1
"&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect
",0
"""@fIirting: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh",1
"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lma...
",0
"""@fatboyswagg347: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",1
"&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue...
",0
"""@glowstruck: But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded",1
"&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them
",0
"""@haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes...",1
"&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A
",0
"""@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels &#128588;"" *sips tea*",1
" Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;
",0
"""@hornyjhb: Fuckin hot gym pussy http://t.co/ZVYmcXQuTA"" fuck yeah",1
" Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#10...
",0
"""@iAMPickUpLines: You can call me Fireman cause I turn the hoes on.""",1
" If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this nigga...
",0
"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My...",1
"&#8220;@rocafella123 ""@waymoflydenu: If fleek in yo vocabulary you a faggot""&#8221;
",0
"""@iLGDaily: And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run i...",1
"&#8220;@spannerhead29: @VertrellCarter #faggot&#8221; #Respect
",0
"""@irlfatty: my pussy sweet like watermelon http://t.co/SKlPh3TtoG"" Thotermelon",1
"&#8220;@thejanicexxx: o u unfollowed me so i can't dm u, so i'll say it here, you're a rude cunt lma...
",0
"""@jSadass: loud bitches annoy me""",1
"&#8220;@ttevy_8: i want affection 24/7 but i also want to be left alone 24/7... do you see the issue...
",0
"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu",1
"&#8220;@waymoflydenu Why yall think its ok to be faggots?&#8221; and want us to be cool with them
",0
"""@jama_jam: You bitches be pretending to be TF crazy.."" You ain't never lied...",1
"&amp;when they say him they mean dyke Ron #wcw http://t.co/VV4DUMMe4A
",0
"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !""",1
" Don't sleep on ma niggah CHood &#128076; @CharleyHood &#128175;&#128175;
",0
"""@juicyyyjayyyy: Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;",1
" Happppppy Birthdayyyy &#1041191;&#1041196;&#1043215; lol . Niggahs is really 21 in this bitch &#10...
",0
"""@kayreneeee_: Fuck wit us and then we tweakin hoe"" shmurda!",1
" If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this nigga...
",0
"""@kikiSTFU: I'll break that lil bitch neck and won't even feel sorry about it"" Savage",1
" This niggah pharrell or whatever this niggah name is don't deserve shit for that white ass gay son...
",0
"""@lildurk_: I can turn yo bitch into a eaterrrrrrrrr""",1
"*goes to olive garden* *Turns into a cracker* ""@gIacier: *goes black friday shopping* *turns into a...
",0
"""@michelle_westt: Facts ""@POONsoaker: Only the dudes with hoes say they don't got hoes&#8221;"" @J_Au...",1
",@KiroGx me gusta ""typing like a retard to make the other person look dumber by pretending to agree ...
",0
"""@midyWIDEY_: I'm rea start smacking bitches period !"" Bluffin at its best",1
"------&gt;RT @Maxin_Betha @HumbltonBanks ankle socks in general are for the faggots bro
",0
"""@molssyo: One of us is on drugs, and its me but you're still wrong &#128514; @currieburry"" hahahaha...",1
"...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be
",0
"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh",1
"...you're white, aren't you? *rolls eyes* RT @DidntDoNuffin: @DreaaaLove RIP to my NIGGA Trayvon, a ...
",0
"""@obey_jrock__: This is a true ride or die bitch &#128175; http://t.co/bkwHX83fkW"" what the fuck hah...",1
"2 beer queer
",0
"""@ozzie_garza: @white_thunduh I'm about to cool faggot chill"" tf is cool nigga",1
"2 hoes 1 dyke
",0
"""@ozzie_garza: @white_thunduh I'm so sure bitch"" frfr tf",1
"5000 white men in pick up trucks screaming nigger and my coach got the nerve to get mad I missed the...
",0
"""@queendulaaa: Got a couple bitches saying they know me But I&#8217;ma let the money talk for me &#1...",1
"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack ...
",0
"""@realFORTES: Grudges are for weirdos""and bitches",1
"@05proFESSOR I bet he's a Starbucks queer
",0
"""@royalswagg_: using y=mx+b to find the slope of that ass""",1
"@2014samanthaKay good enough fag
",0
"""@rugbysocklad: Helping out a mate!! http://t.co/eMNAdO1QOj"" I love scally play. Fuck yeah",1
"@AGreasyMonkey @Huntermoore faggot
",0
"""@soxandjox: Thick raw fuck http://t.co/g8RvUHCeBN"" Damn his man pussy is getting a workout.",1
"@AlfieHeydrich but I live in the South. Lot more here. My pop lives in Rhode Island. Hardly no nigge...
",0
"""@splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties""&#128557;&...",1
"@Alicia112794 So basically you like the background music, fag.
",0
"""@talibanshawtyy: Niggas whole hoes out here cuz"" Couldn't had said it better..&#128588;",1
"@AmericanWhiteHM I hate that nigger.
",0
"""@whooligan__: can't stand a ""I don't know what I want"" ass nigga &#128564;"" bitch*",1
"@AmericanWhiteHM Those niggers disgust me. They should have dealt with 100 years ago, we wouldn't be...
",0
"""@witmyRUDEass: These newly gay bitches don't kno how shit works""",1
"@AnUglyNigga this is retarded
",0
"""@wodaeeex3: Awww Meat Meat In His Feelins""i ainn n my feelings bitch",1
"@AndreBerto can't wait for more PEDS is that it? Roid munching faggot
",0
"""@wodaeeex3: I Want Snake Bites , MY Industrial Piercin &amp; A Tattoo""Dem hoe accessories dea &#128...",1
"@AndrewJBurns1 @Tommy_Russell_ homo ass crackers
",0
"""@worldwarzee_: these hoes ain't loyal.""",1
"@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens
",0
"""@z0mbiedance: I made that bitch lunch. @elizabethbatman"" Bitches love lunch.",1
"@AnthonyCumia You be totally correct Anthony. Can&#8217;t be livin round dem colored folk. Day be b...
",0
"""A pussy a day keeps the devil away"" -@DoperThanYola",1
"@AntonioFrench The ""You&#8217;re going 2have 2 KILL crackers &amp; their babies&#8221; New Black Pan...
",0
"""Ain't that about a bitch""... What does that mean?",1
"@Arbogucci guys not supposed to get their ass sucked queer
",0
"""All these bitches want a baby, I don't want no children.""",1
"@Aryanliving Welcome to the movement. Anyone who gets even minor publicity is a queer, fed, or jew (...
",0
"""And bitch you must be lost"" &#128514;&#128514;",1
"@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 ape? Fuck u bro...
",0
"""Batter the wee cunt Jewis"" y cos he fucked my ex? Emma isnt battering the girls I've nailed?Ive mov...",1
"@AustinG1135 I do not like talking to you faggot and I did but in a nicely way fag
",0
"""Bleed out hoe!!!"" -Alexa",1
"@AustinG1135 answer my snapchat faggot #butthurt
",0
"""Boolin' in the bando wit a few bitches""",1
"@BGALLY17 so ur faggot teammate @BrandonPrust8 hits someone late like that and U say he's yapping an...
",0
"""By the way we do punch bitches.""",1
"@BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it
",0
"""Caesar is home"" RT @Naewoodster: &#8220;@MjaySkillz: https://t.co/mw5KAojKXB""theres so much this bi...",1
"@Barbod6FCB @_cblaze @ODDBEAST cracker jack shut the fuck up
",0
"""Do you believe these hoes are not in fact loyal?"" ""I disagree with that, I do believe they are in f...",1
"@BeyondTomcat you'd like that wouldn't you fag
",0
"""Don't know no ugly bitches! Don't know no broke niggas!""--@Kevin_Gates",1
"@Bidenshairplugs He looks like a fag and his time line is boring Zzzzzz
",0
"""Don't you ever give my pussy away. You keep it tight, alright?""",1
"@BillionaireCrow @Neelahrelates your what's wrong with the white race you fuckin coon slaying piece ...
",0
"""Dumb bitches do dumb things""",1
"@Blackman38Tide lmfao go to bed whitey &#128129;
",0
"""Eat the pussy like a real nigga hungry""",1
"@BloggerBoxing @rianscalia pass the Fosters faggot
",0
"""Everything look better with a bitch next to it""",1
"@BloggerBoxing yea....what did it do for Maidana? It made him a greedy faggot loser. Atleast Broner ...
",0
"""For every bad bitch there is a nigga tired of fucking her""",1
"@BossMelle never followed him ignorant monkey
",0
"""Foreign chick, no lie.. Man that bitch Beautiful""",1
"@BraxCity29 @maria_obregon_g @sophia_freeman1 3/4 of a citizen. I said it for you maria you spic
",0
"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku""",1
"@BreeOlson @Gingerbeard66 your a nasty nigger whore
",0
"""Get me that shit bitch you is fine bear""",1
"@Brenddan_ they said some bullshit. Damn niggers
",0
"""Get your ass back to Detroit ya fuckin' wigger!""",1
"@Briana_Rashae I'd like to rape the bitch that posted that.
",0
"""HOW DO YOU KNOW MY TWITTER PASSWORD"" bitch please",1
"@Brice2254 Fuck you, faggot.
",0
"""He a bitch for hitting that hoe"" &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#1...",1
